name,party,year,geography,war,war_text
Andy Levin,D,2020,MI-09,5.9,D+5.9
Andy Millard,D,2016,NC-10,6.2,D+6.2
Andy Ogles,R,2024,TN-05,-3.9,D+3.9
Andy Ostrowski,D,2014,PA-11,-7.8,R+7.8
Andy Ruff,D,2020,IN-09,-0.6,R+0.6
Andy Tobin,R,2014,AZ-01,-9.3,D+9.3
Andy Whallon,R,2016,CA-47,2.1,R+2.1
Angel Cadena,R,2018,CT-03,-4.0,D+4
Angel Cardenas,R,2016,CA-14,-4.0,D+4
Angela Demaree,D,2016,IN-05,-5.4,R+5.4
Angela Grabovsky,R,2022,IN-07,2.1,R+2.1
Angela Kaaihue,R,2016,HI-02,-17.2,D+17.2
Angela Pendley,D,2016,GA-03,2.3,D+2.3
Angela Stanton-King,R,2020,GA-05,1.7,R+1.7
Angie Craig,D,2024,MN-02,6.7,D+6.7
Anil Kumar,D,2016,MI-11,-2.7,R+2.7
Anita Chen,R,2024,CA-17,8.1,R+8.1
Anita Malik,D,2018,AZ-06,0.3,D+0.3
Ann Callis,D,2014,IL-13,-2.9,R+2.9
Ann Kirkpatrick,D,2020,AZ-02,-0.2,R+0.2
Ann McLane Kuster,D,2014,NH-02,2.4,D+2.4
Ann Roe,D,2022,WI-01,-4.5,R+4.5
Ann Wagner,R,2024,MO-02,-2.0,D+2
Ann Wofford,R,2016,MA-03,-13.2,D+13.2
Anna Cheng Kramer,R,2024,CA-15,6.0,R+6
Anna Eshoo,D,2018,CA-18,-8.5,R+8.5
Anna Paulina Luna,R,2024,FL-13,-6.1,D+6.1
Anna Throne-Holst,D,2016,NY-01,-3.1,R+3.1
Annette Taddeo,D,2022,FL-27,0.1,D+0.1
Annette Teijeiro,R,2014,NV-01,3.3,R+3.3
Annie Andrews,D,2022,SC-01,4.6,D+4.6
Annie Kuster,D,2022,NH-02,-1.1,R+1.1
Anthony Brindisi,D,2020,NY-22,11.9,D+11.9
Anthony Brown,D,2020,MD-04,-1.1,R+1.1
Anthony Culler,R,2014,SC-06,-4.5,D+4.5
Anthony D'Esposito,R,2024,NY-04,-2.5,D+2.5
Anthony Flaccavento,D,2018,VA-09,2.1,D+2.1
Anthony Gonzalez,R,2020,OH-16,7.1,R+7.1
Anthony Marecki,R,2024,NY-26,-6.7,D+6.7
Anthony Pappas,R,2018,NY-14,-9.1,D+9.1
Anthony Rogers,R,2020,MO-01,0.9,R+0.9
Anthony Valdes,R,2024,NJ-08,6.3,R+6.3
Anthony Wilkinson,R,2014,NJ-06,-4.5,D+4.5
Antonia Eliason,D,2020,MS-01,-1.1,R+1.1
Antonio Blue,D,2014,NC-08,-0.9,R+0.9
Antonio Daza,D,2022,GA-11,-1.4,R+1.4
Antonio Delgado,D,2020,NY-19,10.1,D+10.1
Antonio Delgado,R,2020,CA-40,13.3,R+13.3
Antonio Sabato Jr,R,2018,CA-26,-0.2,D+0.2
Antonio Swad,R,2022,TX-32,-3.5,D+3.5
Anya Tynio,R,2018,VT-AL,-1.9,D+1.9
April Becker,R,2022,NV-03,-2.1,D+2.1
April Freeman,D,2016,FL-17,3.6,D+3.6
April McClain Delaney,D,2024,MD-06,0.8,D+0.8
April Verlato,R,2024,CA-28,0.6,R+0.6
Archie Parnell,D,2018,SC-05,-2.4,R+2.4
Arik Bjorn,D,2016,SC-02,3.2,D+3.2
Armond James,R,2014,PA-02,3.2,R+3.2
Art Halvorson,D,2016,PA-09,18.2,D+18.2
Art Robinson,R,2018,OR-04,-3.5,D+3.5
Arthur Jones,R,2018,IL-03,-24.3,D+24.3
Arthur Lieber,D,2014,MO-02,-1.6,R+1.6
Arthur Rich,R,2014,NC-01,-2.0,D+2.0
Arturo Alas,R,2014,CA-32,10.9,R+10.9
Ashley Ehasz,D,2024,PA-01,-8.8,R+8.8
