name,party,year,geography,war,war_text
Claire Gustafson,R,2022,NJ-01,-5.9,D+5.9
Clarke Tucker,D,2018,AR-02,2.5,D+2.5
Claudia Tenney,R,2024,NY-24,5.0,R+5
Claudia Zapata,D,2022,TX-21,4.1,D+4.1
Clay Aiken,D,2014,NC-02,9.4,D+9.4
Clay Cope,R,2016,CT-05,-1.6,D+1.6
Clay Higgins,R,2024,LA-03,0.2,R+0.2
Cleo Fields,D,2024,LA-06,10.5,D+10.5
Cliff Bentz,R,2024,OR-02,2.1,R+2.1
Cliff Moon,R,2022,WA-07,7.4,R+7.4
Clint Curtis,D,2020,FL-06,0.8,D+0.8
Clint Koble,D,2018,NV-02,-4.2,R+4.2
Clinton St. Mosley,D,2024,MI-09,-3.5,R+3.5
Cody Hart,R,2024,WA-02,-2.2,D+2.2
Colin Allred,D,2022,TX-32,3.5,D+3.5
Colin Schmitt,R,2022,NY-18,-2.7,D+2.7
Colleen Deacon,D,2016,NY-24,-22.0,R+22
Colleen Hanabusa,D,2016,HI-01,13.7,D+13.7
Collin Peterson,D,2020,MN-07,15.3,D+15.3
Colm Willis,R,2016,OR-05,-1.1,D+1.1
Combined Democrat,D,2014,LA-01,1.8,D+1.8
Conor Halbleib,D,2022,KY-05,0.7,D+0.7
Conor Lamb,D,2020,PA-17,0.1,D+0.1
Conrad Kress,R,2022,HI-01,-18.0,D+18
Constantine Jean-Pierre,R,2020,NY-09,-1.4,D+1.4
Corey Gustafson,R,2022,CA-50,4.3,R+4.3
Corey Roen,R,2014,TX-16,-8.7,D+8.7
Cori Bush,D,2022,MO-01,-6.6,R+6.6
Corinna Balderramos Robinson,D,2022,FL-21,-3.8,R+3.8
Corinna Robinson,D,2014,SD-AL,-3.3,R+3.3
Cormick Lynch,R,2014,RI-01,18.4,R+18.4
Corrine Brown,D,2014,FL-05,-11.0,R+11.0
Corrogan Vaughn,R,2016,MD-07,3.8,R+3.8
Corry Westbrook,D,2016,FL-08,-3.5,R+3.5
Cort VanOstran,D,2018,MO-02,2.7,D+2.7
Cory Mills,R,2024,FL-07,-3.4,D+3.4
Courtney Denton,D,2014,MO-03,-2.1,R+2.1
Courtney Geels,R,2022,NC-04,-0.7,D+0.7
Courtney Tritch,D,2018,IN-03,-1.5,R+1.5
Craig Cameron,R,2020,IL-07,5.7,R+5.7
Craig Goldman,R,2024,TX-12,2.2,R+2.2
Craig Keller,R,2020,WA-07,10.7,R+10.7
Craig Raybon,D,2024,MS-04,-2.2,R+2.2
Craig Swartz,D,2022,OH-05,-2.7,R+2.7
Cresent Hardy,R,2018,NV-04,0.0,D+0
Cristina McNeil,D,2018,ID-01,4.3,D+4.3
Cristina Osmena,R,2018,CA-14,3.3,R+3.3
Curt Clawson,R,2014,FL-19,-2.5,D+2.5
Curtis Hertel,D,2024,MI-07,-1.4,R+1.4
Cynthia Lummis,R,2014,WY-AL,-7.3,D+7.3
Cynthia Wallace,D,2020,NC-09,1.9,D+1.9
D,D,2024,LA-03,-0.2,R+0.2
DD Adams,D,2018,NC-05,0.7,D+0.7
Dakin Sundeen,R,2014,CA-13,0.5,R+0.5
Dale Crafts,R,2020,ME-02,-13.0,D+13
Dale Mensing,R,2020,CA-02,1.2,R+1.2
Dale Strong,R,2022,AL-05,3.7,R+3.7
Dalia Al-Aqidi,R,2024,MN-05,13.1,R+13.1
Dan Alexander,R,2024,WA-07,9.1,R+9.1
Dan Benishek,R,2014,MI-01,-9.1,D+9.1
Dan Bishop,R,2022,NC-08,-0.5,D+0.5
Dan Brzozowski,D,2020,IL-16,-9.2,R+9.2
Dan Cox,R,2016,MD-08,2.3,R+2.3
Dan Cramer,D,2014,TN-07,-0.3,R+0.3
Dan Crenshaw,R,2024,TX-02,0.7,R+0.7
Dan David,R,2018,PA-04,0.7,R+0.7
Dan DeBono,R,2018,NY-03,-3.5,D+3.5
Dan Debicella,R,2014,CT-04,11.0,R+11.0
Dan Donovan,R,2018,NY-11,-8.3,D+8.3
Dan Feehan,D,2020,MN-01,10.9,D+10.9
Dan Franzese,R,2024,FL-22,-0.5,D+0.5
Dan Goldman,D,2024,NY-10,4.0,D+4
Dan Kildee,D,2022,MI-08,6.7,D+6.7
Dan Kohl,D,2018,WI-06,-2.0,R+2
Dan LaVallee,D,2014,PA-03,6.8,D+6.8
Dan Lipinski,D,2018,IL-03,24.3,D+24.3
Dan Logue,R,2014,CA-03,1.4,R+1.4
Dan Lux,R,2022,LA-02,-10.2,D+10.2
Dan Maffei,D,2014,NY-24,-22.6,R+22.6
Dan Matthews,R,2022,WA-02,5.2,R+5.2
Dan McCready,D,2018,NC-09,6.1,D+6.1
Dan McQueen,R,2022,TX-35,-6.0,D+6
Dan Meiser,R,2018,PA-09,0.5,R+0.5
Dan Meuser,R,2024,PA-09,-0.2,D+0.2
Dan Newhouse,R,2022,WA-04,14.2,R+14.2
Dan Pastore,D,2022,PA-16,4.0,D+4
Dan Rodimer,R,2020,NV-03,-2.7,D+2.7
Dan Ruby,D,2024,OR-02,-2.1,R+2.1
Dan Sebring,R,2014,WI-04,4.8,R+4.8
Dan Sullivan,R,2024,MA-09,1.4,R+1.4
Dan Wood,D,2018,TX-05,1.7,D+1.7
Dana Balter,D,2020,NY-24,-15.7,R+15.7
Dana Barrett,D,2020,GA-11,1.1,D+1.1
Dana Cottrell,D,2020,FL-11,2.3,D+2.3
Dana Ferguson,D,2020,MI-01,-2.9,R+2.9
Dana Rohrabacher,R,2018,CA-48,-6.2,D+6.2
Daniel Bongino,R,2014,MD-06,6.5,R+6.5
Daniel Butierez,R,2024,AZ-07,-0.6,D+0.6
Daniel Ebers,D,2024,NE-03,-2.6,R+2.6
Daniel Elder,R,2014,MO-01,7.0,R+7.0
Daniel Franzese,R,2022,FL-22,-1.7,D+1.7
Daniel Giroux,D,2016,KS-04,1.9,D+1.9
Daniel Martinez,R,2024,CA-31,1.3,R+1.3
Daniel Webster,R,2024,FL-11,0.6,R+0.6
Daniel Wik,D,2016,NE-01,-9.8,R+9.8
Daniel Wood,R,2020,AZ-03,-0.5,D+0.5
Danielle Hawk,D,2022,FL-03,1.4,D+1.4
Danielle Mitchell,D,2018,TN-03,0.5,D+0.5
Danner Kline,D,2018,AL-06,6.5,D+6.5
Danniel Maio,R,2016,NY-06,-8.1,D+8.1
Danny Davis,D,2024,IL-07,-1.6,R+1.6
Danny O'Connor,D,2018,OH-12,1.2,D+1.2
Danny Postemski,R,2018,CT-02,-14.1,D+14.1
Danny Tarkanian,R,2018,NV-03,-7.8,D+7.8
Danny Turner,R,2016,CA-15,-2.4,D+2.4
Danyell Lanier,D,2020,OK-02,3.6,D+3.6
Daria Irene Novak,R,2016,CT-02,-11.9,D+11.9
Darin LaHood,R,2022,IL-16,5.2,R+5.2
Darius Mayfield,R,2024,NJ-12,2.6,R+2.6
Darlene McDonald,D,2022,UT-04,6.2,D+6.2
Darlene Senger,R,2014,IL-11,4.7,R+4.7
Darrel Miller,D,2014,IL-18,-13.1,R+13.1
Darrell Day,R,2024,TX-32,1.7,R+1.7
Darrell Issa,R,2024,CA-48,-2.4,D+2.4
Darren Parry,D,2020,UT-01,-2.0,R+2
Darren Soto,D,2024,FL-09,5.3,D+5.3
Darrius Butler,D,2024,GA-08,-1.3,R+1.3
Dartanyon Williams,D,2020,LA-06,-11.5,R+11.5
Daryl Farrow,D,2020,NC-03,2.0,D+2
Daryl Kipnis,R,2018,NJ-12,5.9,R+5.9
Daryl Scott,D,2022,SC-07,-2.2,R+2.2
Dasha Pruett,R,2020,PA-05,2.9,R+2.9
Dave Banach,R,2014,MD-02,-0.9,D+0.9
Dave Brat,R,2018,VA-07,-2.8,D+2.8
Dave Cowell,D,2016,MO-08,0.9,D+0.9
Dave Giles,R,2016,AZ-09,-7.8,D+7.8
Dave Hughes,R,2018,MN-07,-21.9,D+21.9
Dave Koller,D,2016,FL-11,1.6,D+1.6
Dave Loebsack,D,2018,IA-02,-0.1,R+0.1
Dave Min,D,2024,CA-47,-0.4,R+0.4
Dave Peiser,D,2014,CA-49,-1.2,R+1.2
Dave Reichert,R,2016,WA-08,12.0,R+12
Dave Trott,R,2016,MI-11,2.7,R+2.7
David Blackwell,D,2016,MO-06,-4.7,R+4.7
David Brill,D,2018,AZ-04,-0.6,R+0.6
David Brown,D,2018,NC-10,4.0,D+4
David Callahan,R,2018,GA-13,-4.8,D+4.8
David Cicilline,D,2022,RI-01,2.2,D+2.2
David Cole,D,2016,NJ-02,-13.0,R+13
David Cox,D,2014,FL-06,3.6,D+3.6
David Cozad,D,2014,TX-06,5.8,D+5.8
David Dudenhoefer,R,2020,MI-13,0.5,R+0.5
David E. Bruderly,D,2016,FL-04,-23.9,R+23.9
David E. Price,D,2014,NC-04,3.7,D+3.7
David Else,D,2022,NE-03,-7.7,R+7.7
David Esrati,D,2022,OH-10,-14.5,R+14.5
David Galluch,R,2022,PA-05,2.2,R+2.2
David Giles,R,2020,AZ-09,0.2,R+0.2
David Gurfein,R,2016,NY-04,-3.7,D+3.7
David Holden,D,2018,FL-19,-3.1,R+3.1
David Jolly,R,2016,FL-13,-4.5,D+4.5
David Joyce,R,2024,OH-14,4.3,R+4.3
David Kent,D,2016,TN-06,1.3,D+1.3
David Kustoff,R,2024,TN-08,1.8,R+1.8
David McKinley,R,2020,WV-01,-5.6,D+5.6
David Merkle,R,2018,IL-02,4.6,R+4.6
David Moylan,R,2014,PA-17,-4.0,D+4.0
David Pan,R,2024,CA-46,-4.6,D+4.6
David Parker,D,2020,NC-10,4.3,D+4.3
David Pinckney,R,2022,NJ-10,-1.6,D+1.6
David Price,D,2020,NC-04,-1.6,R+1.6
David Putman,D,2016,AL-06,9.3,D+9.3
David Richter,R,2020,NJ-03,-8.0,D+8
David Robinson,D,2024,SC-02,-1.1,R+1.1
David Rosa,R,2016,MA-04,-14.2,D+14.2
David Roth,D,2024,ID-02,-1.2,R+1.2
David Rouzer,R,2024,NC-07,-2.6,D+2.6
David Schilling,R,2020,LA-02,-5.4,D+5.4
David Schweikert,R,2024,AZ-01,-4.0,D+4
David Scott,D,2024,GA-13,0.6,D+0.6
David Serpa,R,2024,CA-39,2.8,R+2.8
David Shapiro,D,2018,FL-16,-0.5,R+0.5
David Smalling,R,2018,TX-35,-10.0,D+10
David Snyder,D,2016,MN-06,0.3,D+0.3
David Sullivan,R,2020,CT-05,-1.4,D+1.4
David Taylor,R,2024,OH-02,0.8,R+0.8
David Tibbs,D,2014,OH-12,-9.3,R+9.3
David Torres,D,2022,CO-05,-1.5,R+1.5
David Torres,R,2020,PA-02,-0.8,D+0.8
David Trone,D,2022,MD-06,0.9,D+0.9
David Trott,R,2014,MI-11,1.8,R+1.8
David Valadao,R,2024,CA-22,2.2,R+2.2
David Vogel,D,2014,GA-09,6.6,D+6.6
David Wagenhauser,D,2024,NY-24,-5.0,R+5
David Wallace,R,2014,MD-08,2.8,R+2.8
David Wilson Brown,D,2020,NC-05,4.4,D+4.4
David Winkler,R,2024,PA-04,-0.3,D+0.3
David Young,R,2020,IA-03,-1.2,D+1.2
Davis Wilson,D,2020,WA-05,-7.8,R+7.8
Dawn Barlow,D,2018,TN-06,3.8,D+3.8
Dayna Steele,D,2024,TX-36,1.8,D+1.8
Dean Martilli,R,2022,MA-01,0.7,R+0.7
Dean Phillips,D,2022,MN-03,-0.7,R+0.7
Dean Tran,R,2022,MA-03,1.3,R+1.3
Dean Vanderstelt,D,2014,MI-02,-7.2,R+7.2
Deb Haaland,D,2020,NM-01,-6.5,R+6.5
Debbie Dingell,D,2024,MI-06,2.0,D+2
Debbie Lesko,R,2020,AZ-08,-2.1,D+2.1
Debbie Mucarsel-Powell,D,2020,FL-26,-2.1,R+2.1
Debbie Wasserman Schultz,D,2024,FL-25,-1.3,R+1.3
Deborah Pickett,D,2024,IN-05,-0.9,R+0.9
Deborah Ross,D,2024,NC-02,-0.5,R+0.5
Deborah Williams,R,2016,PA-01,1.7,R+1.7
Debra Wirth,D,2016,MI-04,-2.6,R+2.6
Dee Adcock,R,2014,PA-13,-8.3,D+8.3
Dee Thornton,D,2018,IN-05,-4.5,R+4.5
Delia Ramirez,D,2024,IL-03,-0.2,R+0.2
Delina DiSanto,D,2020,AZ-04,3.3,D+3.3
Denise Gitsham,R,2016,CA-52,2.6,R+2.6
Denise Juneau,D,2016,MT-AL,6.4,D+6.4
Dennis A. Ross,R,2014,FL-15,-1.9,D+1.9
Dennis Anderson,D,2014,IL-14,-7.3,R+7.3
Dennis Baker,D,2024,OK-01,0.5,D+0.5
Dennis Crawford,D,2014,NE-01,-13.4,R+13.4
Dennis Heck,D,2014,WA-10,-7.2,R+7.2
Dennis Murphy,D,2016,MI-02,-7.3,R+7.3
Dennis Quinn,D,2016,MS-03,-2.7,R+2.7
Dennis Ross,R,2016,FL-15,-4.2,D+4.2
Denny Heck,D,2018,WA-10,0.4,D+0.4
Denny Wolff,D,2018,PA-09,-0.5,R+0.5
Denver Riggleman,R,2018,VA-05,3.7,R+3.7
Derek Kilmer,D,2022,WA-06,0.1,D+0.1
Derek Kitts,D,2016,VA-09,3.2,D+3.2
Derek Marshall,D,2024,CA-23,-0.5,R+0.5
Derek Schmidt,R,2024,KS-02,-0.4,D+0.4
Derek Tran,D,2024,CA-45,3.9,D+3.9
Derrick Anderson,R,2024,VA-07,-1.2,D+1.2
Derrick Holder,D,2024,IN-04,-1.8,R+1.8
Derrick Merrin,R,2024,OH-09,-4.8,D+4.8
Derrick Van Orden,R,2024,WI-03,-7.3,D+7.3
Desiree Tims,D,2020,OH-10,-8.7,R+8.7
Devin Nunes,R,2020,CA-22,-3.1,D+3.1
Devin Pandy,D,2020,GA-09,1.3,D+1.3
Devin Thorpe,D,2020,UT-03,-12.3,R+12.3
Dew Powell,R,2016,NC-01,0.1,R+0.1
Diana DeGette,D,2024,CO-01,-2.9,R+2.9
Diana Harshbarger,R,2024,TN-01,-0.5,D+0.5
Diana Kastenbaum,D,2016,NY-27,-4.5,R+4.5
Diane Black,R,2016,TN-06,-1.3,D+1.3
Diane Harkey,R,2018,CA-49,-3.6,D+3.6
Diane Mitsch Bush,D,2020,CO-03,2.3,D+2.3
Dianne Black,D,2024,MS-01,0.1,D+0.1
Dianne Curry,D,2016,AR-02,-0.4,R+0.4
Dierdre Paul,R,2014,NJ-09,-9.5,D+9.5
Dimitri Cherny,D,2016,SC-01,-0.5,R+0.5
Dina Titus,D,2024,NV-01,2.4,D+2.4
Dino Rossi,R,2018,WA-08,4.7,R+4.7
Domenic Recchia,D,2014,NY-11,0.8,D+0.8
Don Bacon,R,2024,NE-02,1.6,R+1.6
Don Beyer,D,2024,VA-08,-3.8,R+3.8
Don Cole,R,2020,GA-02,-5.2,D+5.2
Don Davis,D,2024,NC-01,2.6,D+2.6
Don Hewett,R,2024,WA-10,3.1,R+3.1
Don Wilson,D,2016,GA-11,5.5,D+5.5
Don Young,R,2020,AK-AL,-5.7,D+5.7
Don Ytterberg,R,2014,CO-07,4.6,R+4.6
Donald Brown,D,2014,TX-14,6.7,D+6.7
Donald Larson,R,2016,OH-09,-4.2,D+4.2
Donald McEachin,D,2022,VA-04,-2.4,R+2.4
Donald Norcross,D,2024,NJ-01,-3.9,R+3.9
Donald Payne,D,2020,NJ-10,3.2,D+3.2
Donald Payne Jr.,D,2022,NJ-10,1.6,D+1.6
Donna Deegan,D,2020,FL-04,4.2,D+4.2
Donna Edwards,D,2014,MD-04,-14.2,R+14.2
Donna Imam,D,2020,TX-31,0.3,D+0.3
Donna McAleer,D,2014,UT-01,13.4,D+13.4
Donna Shalala,D,2020,FL-27,-8.8,R+8.8
Donnie Palmer,R,2022,MA-07,3.6,R+3.6
Doris Matsui,D,2024,CA-07,0.5,D+0.5
Dot Benford,D,2020,MS-03,-2.3,R+2.3
Doug Applegate,D,2016,CA-49,5.5,D+5.5
Doug Basler,R,2022,WA-09,2.8,R+2.8
Doug Collins,R,2018,GA-09,2.1,R+2.1
Doug Daggett,R,2014,MN-05,5.1,R+5.1
Doug LaMalfa,R,2024,CA-01,2.9,R+2.9
Doug Lamborn,R,2022,CO-05,1.5,R+1.5
Doug Magee,D,2014,MS-03,-6.4,R+6.4
Doug Ose,R,2014,CA-07,-1.1,D+1.1
Doug Owens,D,2016,UT-04,10.4,D+10.4
Doug Shepherd,R,2016,CA-41,-0.6,D+0.6
Doug White,D,2022,WA-04,-14.2,R+14.2
Douglas Bell,R,2016,GA-05,5.2,R+5.2
Douglas Bennett,R,2018,IL-10,7.0,R+7
Douglas Brower,R,2022,CA-02,-1.0,D+1
Douglas Dightman,R,2018,WA-06,-3.9,D+3.9
Douglas McKinley,D,2020,WA-04,-7.9,R+7.9
Douglas Smith,D,2016,MI-03,-4.8,R+4.8
Douglas Tuman,R,2020,NY-04,-0.3,D+0.3
Drew Ferguson,R,2022,GA-03,-0.6,D+0.6
Drew Johnson,R,2024,NV-03,-0.3,D+0.3
Drew Leavens,D,2014,CA-45,-9.0,R+9.0
Drew MacEwen,R,2024,WA-06,3.9,R+3.9
Drew-Montez Clark,R,2022,FL-20,-2.0,D+2
Du Wayne Gregory,D,2016,NY-02,-10.2,R+10.2
Dufirstson Neree,R,2014,FL-24,-2.2,D+2.2
Duke Buckner,R,2024,SC-06,3.0,R+3
Duncan D. Hunter,R,2014,CA-50,5.7,R+5.7
Duncan Hunter,R,2018,CA-50,-12.0,D+12
Duncan Klussmann,D,2022,TX-38,-0.8,R+0.8
Dusty Johnson,R,2024,SD-AL,9.9,R+9.9
Dutch Ruppersberger,D,2022,MD-02,-2.3,R+2.3
Dwight Evans,D,2020,PA-03,-2.7,R+2.7
E. Thomasina Marsili,D,2020,IN-08,-1.4,R+1.4
Earl Blumenauer,D,2022,OR-03,-0.5,R+0.5
Earl Everett,D,2014,OK-02,3.9,D+3.9
Ed Albertson,D,2016,OH-12,-16.1,R+16.1
Ed Case,D,2024,HI-01,17.1,D+17.1
Ed Perlmutter,D,2020,CO-07,-0.0,R+0
Ed Royce,R,2016,CA-39,4.5,R+4.5
Ed Thelander,R,2022,ME-01,2.2,R+2.2
Ed Whitfield,R,2014,KY-01,4.1,R+4.1
Eddie Bernice Johnson,D,2020,TX-30,1.4,D+1.4
Eddie Edwards,R,2018,NH-01,0.1,R+0.1
Eddie Zamora,R,2014,TX-15,1.2,R+1.2
Edwin Edwards,D,2014,LA-06,24.5,D+24.5
Eileen Bedell,D,2016,VA-07,4.1,D+4.1
Elaine Luria,D,2022,VA-02,-0.9,R+0.9
Elan Carr,R,2014,CA-33,3.5,R+3.5
Elbert Guillory,R,2024,LA-06,-10.5,D+10.5
Eli Crane,R,2024,AZ-02,-8.5,D+8.5
Elijah Cummings,D,2018,MD-07,-5.9,R+5.9
Eliot Rabin,R,2018,NY-12,4.8,R+4.8
Elisabeth Jensen,D,2014,KY-06,3.9,D+3.9
Elise Stefanik,R,2024,NY-21,0.2,R+0.2
Elissa Slotkin,D,2022,MI-07,2.7,D+2.7
Elizabeth Anderson,D,2024,AL-06,4.5,D+4.5
Elizabeth Esty,D,2016,CT-05,1.6,D+1.6
Elizabeth Haderlein,D,2022,IL-16,-5.2,R+5.2
Elizabeth Heng,R,2018,CA-16,5.3,R+5.3
Elizabeth Hernandez,D,2020,TX-08,2.3,D+2.3
Elizabeth Joy,R,2020,NY-20,-1.6,D+1.6
Elizabeth Krause,D,2022,NV-02,-2.3,R+2.3
Elizabeth Kreiselmaier,R,2022,WA-06,-0.1,D+0.1
Elliott Fausz,D,2014,VA-04,-2.9,R+2.9
Emanuel Cleaver,D,2024,MO-05,-0.7,R+0.7
Emilia Sykes,D,2024,OH-13,0.6,D+0.6
Emilio Huerta,D,2016,CA-21,-17.0,R+17
Emily Cain,D,2016,ME-02,-0.0,D+0
Emily Randall,D,2024,WA-06,-3.9,R+3.9
Eric Blankenburg,R,2024,NC-04,-1.2,D+1.2
Eric Brewer,R,2022,OH-11,2.2,R+2.2
Eric Burlison,R,2024,MO-07,0.2,R+0.2
Eric Carlson,R,2022,IL-01,5.1,R+5.1
Eric Ching,R,2024,CA-38,2.4,R+2.4
Eric Early,R,2020,CA-28,2.4,R+2.4
Eric Esshaki,R,2020,MI-11,0.9,R+0.9
Eric Fisher,R,2018,NJ-09,-0.1,D+0.1
Eric Holguin,D,2018,TX-27,0.6,D+0.6
Eric Lynn,D,2022,FL-13,8.4,D+8.4
Eric Mauck,D,2016,TX-26,3.2,D+3.2
Eric Schertzing,D,2014,MI-08,-5.4,R+5.4
Eric Sorensen,D,2024,IL-17,1.1,D+1.1
Eric Swalwell,D,2024,CA-14,-4.9,R+4.9
Eric Thorsland,D,2014,IL-15,-8.2,R+8.2
Eric Wallace,R,2014,IL-02,1.4,R+1.4
Erick Wright,D,2014,AL-02,7.1,D+7.1
Erik Aadland,R,2022,CO-07,-0.9,D+0.9
Erik Hurt,D,2024,IN-08,-4.0,R+4
Erik Olsen,R,2024,WI-02,0.8,R+0.8
Erik Paulsen,R,2018,MN-03,4.1,R+4.1
Erika Stotts Pearson,D,2020,TN-08,-1.8,R+1.8
Erika Weaver,D,2020,IL-15,2.4,D+2.4
Erin Bilbray,D,2014,NV-03,-3.9,R+3.9
Erin Cruz,R,2020,CA-36,-6.8,D+6.8
Erin Houchin,R,2024,IN-09,-0.9,D+0.9
Erin Marshall,D,2024,KY-01,-0.2,R+0.2
Erin McClelland,D,2016,PA-12,5.2,D+5.2
Ernest Lineberger III,D,2024,TX-26,-1.8,R+1.8
Ernest Reeves,D,2016,NC-03,-3.1,R+3.1
Errol Webber,R,2020,CA-37,2.0,R+2
Esau Freeman,D,2024,KS-04,-1.3,R+1.3
Esther Joy King,R,2022,IL-17,0.8,R+0.8
Eugene Cleek,R,2016,CA-03,-2.3,D+2.3
Eugene DePasquale,D,2020,PA-10,0.9,D+0.9
Eugene Vindman,D,2024,VA-07,1.2,D+1.2
Eugene Yu,R,2024,GA-04,4.0,R+4
Evan Jenkins,R,2016,WV-03,-1.1,D+1.1
Evangeline Hundley,D,2024,SC-05,-0.4,R+0.4
Eve Nunez,R,2016,AZ-07,-3.1,D+3.1
Fabian Vasquez,R,2020,TX-33,2.9,R+2.9
Filemon Vela,D,2020,TX-34,5.7,D+5.7
Filemon Vela Jr.,D,2014,TX-34,-1.1,R+1.1
Flynn Broady,D,2018,GA-11,2.6,D+2.6
Forrest Dunbar,D,2014,AK-AL,21.6,D+21.6
Fran Person,D,2016,SC-05,2.0,D+2
Francis Conole,D,2022,NY-22,1.9,D+1.9
Francis Rooney,R,2018,FL-19,3.1,R+3.1
Francis Vitollo,R,2018,NY-20,-5.6,D+5.6
Francys Johnson,D,2018,GA-12,-4.6,R+4.6
Frank Accavitti Jr.,D,2016,MI-10,-4.2,R+4.2
Frank Briscoe,D,2014,TX-22,3.1,D+3.1
Frank Guinta,R,2016,NH-01,-8.4,D+8.4
Frank LoBiondo,R,2016,NJ-02,13.0,R+13
Frank Lucas,R,2022,OK-03,0.4,R+0.4
Frank McNeill,D,2018,NC-08,1.3,D+1.3
Frank Mrvan,D,2024,IN-01,4.6,D+4.6
Frank Nelson Drake,R,2016,MN-05,9.5,R+9.5
Frank Pallone,D,2024,NJ-06,4.1,D+4.1
Frank Pallotta,R,2022,NJ-05,-2.7,D+2.7
Frank Perez,D,2014,TX-32,1.7,D+1.7
Frank Pierce,D,2024,NC-13,3.5,D+3.5
Frank Spotorno,R,2016,NY-14,-3.1,D+3.1
Frankie Robbins,D,2018,OK-03,0.5,D+0.5
Fred Keller,R,2020,PA-12,0.9,R+0.9
Fred Kundrata,D,2014,OH-01,0.8,D+0.8
Fred Upton,R,2020,MI-06,7.7,R+7.7
Frederica Wilson,D,2024,FL-24,0.5,D+0.5
Frederick LaVergne,D,2016,NJ-03,-8.1,R+8.1
French Hill,R,2024,AR-02,-3.3,D+3.3
G. K. Butterfield,D,2016,NC-01,-0.1,R+0.1
G.K. Butterfield,D,2020,NC-01,-0.6,R+0.6
GK Butterfield,D,2018,NC-01,-3.9,R+3.9
Gabby Saucedo Mercer,R,2014,AZ-03,14.9,R+14.9
Gabe Amo,D,2024,RI-01,6.3,D+6.3
Gabe Evans,R,2024,CO-08,2.1,R+2.1
Gabe Vasquez,D,2024,NM-02,3.1,D+3.1
Gabriel Rothblatt,D,2014,FL-08,-3.5,R+3.5
Gail Schwartz,D,2016,CO-03,0.9,D+0.9
Garfield Wallace,R,2020,NY-08,-0.4,D+0.4
Garret Graves,R,2020,LA-06,11.5,R+11.5
Garret Graves*,R,2016,LA-06,2.9,R+2.9
Garry Cobb,R,2014,NJ-01,4.6,R+4.6
Gary Adler,R,2020,FL-05,-3.3,D+3.3
Gary Josephson,D,2022,OH-15,-1.8,R+1.8
Gary Palmer,R,2024,AL-06,-4.5,D+4.5
Gary Snyder,D,2022,IN-03,0.1,D+0.1
Gary Stein,R,2016,FL-20,7.1,R+7.1
Gary Wegman,D,2020,PA-09,2.8,D+2.8
Gay Valimont,D,2024,FL-01,8.5,D+8.5
Gena Ross,D,2020,MO-06,-2.8,R+2.8
Gene Green,D,2016,TX-29,10.8,D+10.8
Gene Rechtzigel,R,2020,MN-04,1.6,R+1.6
Genevieve Collins,R,2020,TX-32,2.0,R+2
Genevieve Williams,D,2016,MO-07,8.9,D+8.9
Geoff Young,D,2022,KY-06,-12.3,R+12.3
George Athanasopoulos,R,2016,CO-07,1.9,R+1.9
George B. Sinner,D,2014,ND-AL,14.0,D+14.0
George Brikho,R,2014,MI-09,-8.8,D+8.8
George Buck,R,2018,FL-13,-3.3,D+3.3
George Holding,R,2018,NC-02,-1.1,D+1.1
George Latimer,D,2024,NY-16,7.6,D+7.6
George Leing,R,2014,CO-02,6.1,R+6.1
George Logan,R,2024,CT-05,1.1,R+1.1
George McDermott,R,2024,MD-04,0.8,R+0.8
George Mitris,R,2020,NY-25,2.3,R+2.3
George Petrilli,D,2020,IL-18,-10.6,R+10.6
George Santos,R,2022,NY-03,3.9,R+3.9
George Scott,D,2018,PA-10,-0.8,R+0.8
George Whitesides,D,2024,CA-27,1.3,D+1.3
Gerhard Gressmann,R,2018,SC-06,2.3,R+2.3
Gerry Connolly,D,2024,VA-11,-4.4,R+4.4
Ges Selmont,D,2018,FL-04,-4.7,R+4.7
Gil Cisneros,D,2024,CA-31,-1.3,R+1.3
Gina Ortiz Jones,D,2020,TX-23,-1.2,R+1.2
Glen Gainer,D,2014,WV-01,-8.8,R+8.8
Glenn Grothman,R,2024,WI-06,2.5,R+2.5
Glenn Ivey,D,2024,MD-04,-0.8,R+0.8
Glenn Thompson,R,2024,PA-15,1.4,R+1.4
Glenn Wright,D,2024,UT-03,-10.5,R+10.5
Glo Scurry-Smith,R,2014,FL-05,11.0,R+11.0
Glo Smith,R,2016,FL-05,-1.8,D+1.8
Gloria Tinubu,D,2014,SC-07,2.3,D+2.3
Gloria Witt,D,2024,VA-05,-1.8,R+1.8
Gonzalo Duran,R,2024,NY-15,1.2,R+1.2
Gordon Christensen,D,2016,MO-04,-1.8,R+1.8
Grace Meng,D,2024,NY-06,8.4,D+8.4
Grace Napolitano,D,2022,CA-31,-5.3,R+5.3
Grant M. Lally,R,2014,NY-03,-10.7,D+10.7
Greg Casar,D,2024,TX-35,-3.9,R+3.9
Greg Duke,R,2016,GA-02,-3.4,D+3.4
Greg Gianforte,R,2018,MT-AL,-9.6,D+9.6
Greg Hunter,D,2018,WY-AL,6.2,D+6.2
Greg Landsman,D,2024,OH-01,1.7,D+1.7
Greg McCauley,R,2018,PA-06,1.7,R+1.7
Greg Meeks,D,2016,NY-05,-8.4,R+8.4
Greg Murphy,R,2022,NC-03,2.1,R+2.1
Greg Musselwhite,R,2020,FL-20,-0.5,D+0.5
Greg Pence,R,2022,IN-06,-4.1,D+4.1
