district,pct_college,pct_white_nh_college,pct_white_nh_non_college,pct_nonwhite_college,pct_nonwhite_non_college,pct_under_30,pct_30_44,pct_45_64,pct_65_plus,median_age,median_income,total_population_acs,source
OH-03,44.59,32.77,26.81,11.82,28.61,25.87,29.38,27.84,16.91,35.7,81372,786630,ACS_2023_tract_to_new_lines
OH-04,23.21,20.51,68.42,2.7,8.37,18.9,23.83,33.64,23.63,40.6,76431,786630,ACS_2023_tract_to_new_lines
OH-05,24.51,21.8,64.2,2.71,11.29,20.05,22.87,33.01,24.07,41.0,71448,786630,ACS_2023_tract_to_new_lines
OH-06,19.86,18.09,71.26,1.76,8.88,18.06,21.96,33.86,26.11,42.6,63384,786630,ACS_2023_tract_to_new_lines
OH-07,37.6,33.11,55.31,4.49,7.08,16.4,22.69,34.58,26.33,43.9,89589,786630,ACS_2023_tract_to_new_lines
OH-08,34.92,27.94,49.59,6.98,15.49,19.36,24.71,33.02,22.92,39.6,85949,786630,ACS_2023_tract_to_new_lines
OH-09,27.13,23.13,56.93,4.0,15.93,18.85,23.72,33.29,24.14,41.0,73343,786630,ACS_2023_tract_to_new_lines
OH-10,31.58,25.21,50.74,6.37,17.68,21.19,24.11,31.55,23.15,39.7,76209,786629,ACS_2023_tract_to_new_lines
OH-11,32.58,21.48,24.94,11.1,42.47,21.71,25.48,30.78,22.03,39.3,60662,786630,ACS_2023_tract_to_new_lines
OH-12,31.67,27.05,61.66,4.62,6.67,18.04,24.68,34.71,22.57,40.6,92096,786630,ACS_2023_tract_to_new_lines
OH-13,34.09,29.26,50.34,4.83,15.57,20.28,23.4,32.49,23.83,41.1,76770,786630,ACS_2023_tract_to_new_lines
OH-14,26.95,24.38,65.22,2.57,7.83,17.14,21.46,34.67,26.73,44.2,75510,786630,ACS_2023_tract_to_new_lines
OH-15,31.99,25.18,52.92,6.81,15.09,19.63,28.84,33.21,18.31,37.8,82307,786630,ACS_2023_tract_to_new_lines
NC-01,23.32,17.61,43.17,5.71,33.51,16.9,21.39,33.85,27.86,44.6,62227,745671,ACS_2023_tract_to_new_lines
