district,pct_white_nh,pct_black,pct_hispanic,pct_asian,pct_other,pct_college,pct_white_nh_college,pct_white_nh_non_college,pct_nonwhite_college,pct_nonwhite_non_college,pct_under_30,pct_30_44,pct_45_64,pct_65_plus,median_age,median_income,total_population,source
GA-03,64.23,23.54,6.39,1.95,3.9,28.65,20.53,47.26,8.12,24.09,19.34,24.36,34.76,21.54,39.2,77091,775231,ACS_2023_5yr
GA-04,25.64,53.32,11.11,5.6,4.32,40.88,17.45,11.67,23.42,47.45,21.4,28.53,32.84,17.23,36.3,74234,770385,ACS_2023_5yr
GA-05,36.01,47.91,7.48,4.43,4.17,54.9,31.18,7.94,23.73,37.16,26.23,30.21,27.7,15.86,35.0,80691,759666,ACS_2023_5yr
GA-06,63.53,8.84,10.64,11.99,5.0,59.12,39.04,27.63,20.08,13.25,16.05,27.72,38.02,18.22,40.0,126645,776224,ACS_2023_5yr
GA-07,29.75,28.87,23.41,13.57,4.4,40.93,17.01,17.0,23.93,42.07,21.09,27.9,36.08,14.93,36.1,84338,769543,ACS_2023_5yr
GA-08,57.6,29.66,7.6,1.54,3.6,23.04,16.49,45.13,6.55,31.83,21.88,25.41,31.8,20.9,37.4,60479,768869,ACS_2023_5yr
GA-09,64.09,9.99,16.21,6.0,3.71,30.29,21.53,47.83,8.77,21.87,19.41,23.28,34.49,22.82,40.4,76846,779431,ACS_2023_5yr
GA-10,62.16,23.6,8.27,2.29,3.69,29.64,21.29,44.35,8.35,26.01,23.08,25.15,32.28,19.49,37.2,74442,789054,ACS_2023_5yr
GA-11,61.03,16.78,13.19,3.84,5.16,42.7,28.75,36.29,13.95,21.02,21.82,27.14,32.99,18.05,37.3,92055,779392,ACS_2023_5yr
GA-12,51.76,36.31,5.82,1.71,4.4,23.95,15.46,39.52,8.49,36.54,22.44,25.7,31.29,20.57,37.0,59575,768903,ACS_2023_5yr
GA-13,16.37,64.25,12.3,3.37,3.71,30.67,6.12,13.56,24.55,55.78,21.46,28.57,34.31,15.66,35.7,72951,775125,ACS_2023_5yr
GA-14,68.1,13.66,13.25,1.17,3.83,23.25,16.35,55.79,6.9,20.96,19.92,25.67,34.57,19.84,38.5,71533,775152,ACS_2023_5yr
